payment_id,customer_id,staff_id,rental_id,amount,payment_date
119,5,2,5118.0,5.99,2005-07-09T06:13:52.000Z
120,5,2,5156.0,1.99,2005-07-09T07:51:42.000Z
121,5,2,5721.0,0.99,2005-07-10T10:09:35.000Z
122,5,1,6042.0,8.99,2005-07-11T02:17:04.000Z
123,5,1,6663.0,3.99,2005-07-12T10:27:35.000Z
124,5,2,6685.0,4.99,2005-07-12T11:16:28.000Z
125,5,2,7293.0,0.99,2005-07-27T11:37:28.000Z
126,5,2,7652.0,0.99,2005-07-28T00:50:29.000Z
127,5,2,7829.0,3.99,2005-07-28T07:43:39.000Z
128,5,1,8263.0,2.99,2005-07-29T00:11:23.000Z
129,5,1,8978.0,1.99,2005-07-30T03:14:28.000Z
130,5,1,9493.0,4.99,2005-07-30T22:52:30.000Z
131,5,1,9888.0,3.99,2005-07-31T13:00:53.000Z
132,5,2,10609.0,4.99,2005-08-01T13:48:45.000Z
133,5,1,10625.0,0.99,2005-08-01T14:27:10.000Z
134,5,2,11001.0,4.99,2005-08-02T03:56:45.000Z
135,5,1,11179.0,4.99,2005-08-02T09:50:06.000Z
136,5,2,11930.0,3.99,2005-08-17T15:28:53.000Z
137,5,1,12145.0,9.99,2005-08-17T23:10:04.000Z
138,5,1,12797.0,2.99,2005-08-18T23:24:08.000Z
139,5,1,13063.0,1.99,2005-08-19T08:45:41.000Z
140,5,2,13877.0,0.99,2005-08-20T14:16:18.000Z
141,5,2,14053.0,6.99,2005-08-20T21:13:59.000Z
142,5,1,14430.0,6.99,2005-08-21T10:31:11.000Z
143,5,2,14494.0,2.99,2005-08-21T13:02:50.000Z
144,5,2,15232.0,0.99,2005-08-22T16:37:02.000Z
145,5,2,13209.0,0.99,2006-02-14T15:16:03.000Z
146,6,2,57.0,4.99,2005-05-25T07:43:32.000Z
147,6,1,577.0,2.99,2005-05-28T10:09:14.000Z
148,6,2,916.0,0.99,2005-05-30T10:25:01.000Z
149,6,1,1575.0,3.99,2005-06-16T02:41:38.000Z
150,6,2,1841.0,2.99,2005-06-16T22:44:13.000Z
151,6,1,1966.0,0.99,2005-06-17T08:19:45.000Z
152,6,1,2345.0,0.99,2005-06-18T11:03:23.000Z
153,6,2,3983.0,0.99,2005-07-06T22:14:21.000Z
154,6,2,4278.0,2.99,2005-07-07T13:53:24.000Z
155,6,1,5553.0,0.99,2005-07-10T02:03:35.000Z
156,6,2,6211.0,5.99,2005-07-11T11:39:01.000Z
157,6,1,6248.0,7.99,2005-07-11T14:01:54.000Z
158,6,2,6686.0,0.99,2005-07-12T11:18:38.000Z
159,6,2,7099.0,2.99,2005-07-27T04:03:44.000Z
160,6,2,7136.0,2.99,2005-07-27T05:38:25.000Z
161,6,1,8101.0,0.99,2005-07-28T17:47:23.000Z
162,6,1,10271.0,2.99,2005-08-01T02:13:39.000Z
163,6,1,11023.0,2.99,2005-08-02T04:36:38.000Z
164,6,1,11398.0,3.99,2005-08-02T17:55:15.000Z
165,6,1,11591.0,6.99,2005-08-17T01:29:41.000Z
166,6,1,11727.0,0.99,2005-08-17T07:12:20.000Z
167,6,1,11853.0,0.99,2005-08-17T12:39:32.000Z
168,6,2,12254.0,2.99,2005-08-18T03:05:29.000Z
169,6,2,13451.0,6.99,2005-08-19T23:18:25.000Z
170,6,1,14329.0,7.99,2005-08-21T07:22:56.000Z
171,6,1,14377.0,4.99,2005-08-21T08:49:28.000Z
172,6,1,15509.0,5.99,2005-08-23T01:51:24.000Z
173,6,2,15603.0,0.99,2005-08-23T05:41:32.000Z
174,7,2,46.0,5.99,2005-05-25T05:04:08.000Z
175,7,2,117.0,0.99,2005-05-25T18:30:46.000Z
176,7,2,748.0,2.99,2005-05-29T08:27:00.000Z
177,7,1,975.0,4.99,2005-05-30T20:07:15.000Z
178,7,1,1063.0,5.99,2005-05-31T07:44:29.000Z
179,7,2,1810.0,0.99,2005-06-16T20:06:00.000Z
180,7,1,2250.0,2.99,2005-06-18T04:03:36.000Z
181,7,1,2709.0,0.99,2005-06-19T13:00:26.000Z
182,7,1,2888.0,4.99,2005-06-20T00:50:56.000Z
183,7,1,3007.0,0.99,2005-06-20T09:11:53.000Z
184,7,2,3639.0,5.99,2005-07-06T06:09:17.000Z
185,7,2,4238.0,2.99,2005-07-07T12:22:20.000Z
186,7,2,4787.0,5.99,2005-07-08T15:16:04.000Z
187,7,1,4856.0,4.99,2005-07-08T17:47:38.000Z
188,7,1,5441.0,8.99,2005-07-09T20:52:05.000Z
189,7,1,5921.0,7.99,2005-07-10T20:35:12.000Z
190,7,1,6174.0,1.99,2005-07-11T09:36:28.000Z
191,7,1,6295.0,2.99,2005-07-11T16:30:58.000Z
192,7,2,6761.0,3.99,2005-07-12T14:17:42.000Z
193,7,2,8422.0,5.99,2005-07-29T06:02:55.000Z
194,7,2,9624.0,7.99,2005-07-31T03:30:03.000Z
195,7,2,10330.0,6.99,2005-08-01T03:57:04.000Z
196,7,1,10423.0,5.99,2005-08-01T07:19:53.000Z
197,7,1,10514.0,4.99,2005-08-01T10:39:26.000Z
198,7,2,10644.0,4.99,2005-08-01T14:52:00.000Z
199,7,2,10989.0,3.99,2005-08-02T03:40:54.000Z
200,7,2,11542.0,7.99,2005-08-16T23:51:32.000Z
201,7,1,12367.0,8.99,2005-08-18T06:57:14.000Z
202,7,1,12730.0,2.99,2005-08-18T20:55:01.000Z
203,7,2,13373.0,2.99,2005-08-19T20:23:31.000Z
204,7,1,13476.0,2.99,2005-08-20T00:06:04.000Z
205,7,1,13594.0,0.99,2005-08-20T04:53:31.000Z
206,7,1,14222.0,5.99,2005-08-21T03:49:48.000Z
207,8,2,866.0,6.99,2005-05-30T02:43:54.000Z
208,8,2,1305.0,2.99,2005-06-15T08:59:16.000Z
209,8,1,2095.0,5.99,2005-06-17T17:21:35.000Z
210,8,2,3114.0,4.99,2005-06-20T16:57:47.000Z
211,8,1,3475.0,5.99,2005-07-05T22:01:21.000Z
212,8,1,4003.0,0.99,2005-07-06T23:09:02.000Z
213,8,2,4175.0,2.99,2005-07-07T09:02:03.000Z
214,8,2,4409.0,3.99,2005-07-07T20:47:29.000Z
215,8,1,4503.0,3.99,2005-07-08T01:17:12.000Z
216,8,1,5300.0,2.99,2005-07-09T14:40:46.000Z
217,8,2,5341.0,2.99,2005-07-09T16:13:23.000Z
218,8,1,6375.0,4.99,2005-07-11T20:39:46.000Z
219,8,1,6647.0,0.99,2005-07-12T09:43:53.000Z
220,8,1,8809.0,1.99,2005-07-29T20:42:49.000Z
221,8,2,9629.0,2.99,2005-07-31T03:54:43.000Z
222,8,2,10141.0,0.99,2005-07-31T21:08:29.000Z
223,8,2,10561.0,2.99,2005-08-01T12:05:35.000Z
224,8,1,11232.0,9.99,2005-08-02T12:04:12.000Z
225,8,2,11284.0,2.99,2005-08-02T13:42:45.000Z
226,8,1,12613.0,2.99,2005-08-18T16:16:01.000Z
227,8,1,14114.0,0.99,2005-08-21T00:07:11.000Z
228,8,1,15374.0,7.99,2005-08-22T21:09:09.000Z
229,8,1,15764.0,2.99,2005-08-23T12:05:10.000Z
230,8,1,15805.0,4.99,2005-08-23T13:31:19.000Z
231,9,2,350.0,4.99,2005-05-27T04:01:28.000Z
232,9,2,877.0,0.99,2005-05-30T04:48:59.000Z
233,9,2,1075.0,4.99,2005-05-31T09:13:34.000Z
234,9,2,3142.0,7.99,2005-06-20T18:59:28.000Z
235,9,2,3262.0,4.99,2005-06-21T03:08:43.000Z
236,9,1,4454.0,2.99,2005-07-07T22:37:00.000Z
237,9,2,4748.0,0.99,2005-07-08T12:59:38.000Z
238,9,1,4796.0,1.99,2005-07-08T15:35:44.000Z
239,9,1,5659.0,2.99,2005-07-10T06:45:40.000Z
240,9,2,6019.0,4.99,2005-07-11T01:08:29.000Z
241,9,1,6165.0,5.99,2005-07-11T09:17:29.000Z
242,9,2,7616.0,0.99,2005-07-27T23:15:26.000Z
243,9,1,7801.0,2.99,2005-07-28T06:51:56.000Z
244,9,1,9043.0,4.99,2005-07-30T05:34:07.000Z
245,9,1,10451.0,0.99,2005-08-01T08:11:25.000Z
246,9,1,10454.0,4.99,2005-08-01T08:14:00.000Z
247,9,2,11400.0,5.99,2005-08-02T18:00:52.000Z
248,9,1,11556.0,0.99,2005-08-17T00:11:53.000Z
249,9,1,12228.0,2.99,2005-08-18T02:08:10.000Z
250,9,1,12309.0,2.99,2005-08-18T04:58:40.000Z
251,9,2,12652.0,4.99,2005-08-18T17:48:58.000Z
252,9,2,14489.0,7.99,2005-08-21T12:53:59.000Z
253,9,1,15813.0,4.99,2006-02-14T15:16:03.000Z
254,10,2,1140.0,4.99,2005-05-31T18:36:30.000Z
255,10,1,1801.0,4.99,2005-06-16T19:21:53.000Z
256,10,1,1995.0,4.99,2005-06-17T10:11:14.000Z
257,10,2,2222.0,3.99,2005-06-18T02:26:23.000Z
258,10,1,2814.0,0.99,2005-06-19T19:01:59.000Z
259,10,1,2865.0,0.99,2005-06-19T23:00:55.000Z
260,10,2,3790.0,3.99,2005-07-06T13:13:45.000Z
261,10,2,4042.0,4.99,2005-07-07T02:06:40.000Z
262,10,1,4255.0,1.99,2005-07-07T13:14:13.000Z
263,10,1,5038.0,7.99,2005-07-09T02:12:52.000Z
264,10,2,5068.0,2.99,2005-07-09T03:53:18.000Z
265,10,1,5444.0,0.99,2005-07-09T20:58:57.000Z
266,10,1,5905.0,2.99,2005-07-10T19:41:09.000Z
267,10,1,7738.0,2.99,2005-07-28T04:21:42.000Z
268,10,2,8001.0,6.99,2005-07-28T14:10:55.000Z
269,10,2,8188.0,4.99,2005-07-28T21:34:12.000Z
270,10,1,9935.0,4.99,2005-07-31T14:27:07.000Z
271,10,2,10671.0,8.99,2005-08-01T16:09:59.000Z
272,10,2,11289.0,2.99,2005-08-02T13:55:00.000Z
273,10,1,11405.0,0.99,2005-08-02T18:13:39.000Z
274,10,2,12031.0,2.99,2005-08-17T19:11:35.000Z
275,10,2,12400.0,2.99,2005-08-18T08:19:12.000Z
276,10,2,13316.0,4.99,2005-08-19T18:23:30.000Z
277,10,2,13917.0,2.99,2005-08-20T15:43:28.000Z
278,10,1,15370.0,5.99,2005-08-22T20:59:29.000Z
279,11,1,987.0,6.99,2005-05-30T21:59:12.000Z
280,11,1,1470.0,6.99,2005-06-15T19:53:07.000Z
281,11,1,1939.0,7.99,2005-06-17T06:26:45.000Z
282,11,1,3192.0,0.99,2005-06-20T22:49:12.000Z
283,11,2,4608.0,2.99,2005-07-08T06:19:11.000Z
284,11,1,4943.0,4.99,2005-07-08T21:43:05.000Z
285,11,2,5835.0,5.99,2005-07-10T15:44:58.000Z
286,11,2,6146.0,6.99,2005-07-11T08:09:59.000Z
287,11,1,7314.0,4.99,2005-07-27T12:13:32.000Z
288,11,1,8014.0,4.99,2005-07-28T14:32:07.000Z
289,11,2,8100.0,2.99,2005-07-28T17:43:11.000Z
290,11,2,8447.0,1.99,2005-07-29T06:38:14.000Z
291,11,1,8715.0,0.99,2005-07-29T16:33:45.000Z
292,11,1,8950.0,9.99,2005-07-30T02:17:13.000Z
293,11,2,9292.0,6.99,2005-07-30T15:08:21.000Z
294,11,1,10812.0,4.99,2005-08-01T21:41:16.000Z
295,11,2,11166.0,6.99,2005-08-02T09:14:58.000Z
296,11,2,11502.0,0.99,2005-08-16T22:06:30.000Z
297,11,2,12015.0,5.99,2005-08-17T18:32:44.000Z
298,11,2,13572.0,0.99,2005-08-20T04:07:27.000Z
299,11,1,13790.0,4.99,2005-08-20T11:17:27.000Z
300,11,1,15120.0,0.99,2005-08-22T11:42:47.000Z
301,11,2,15240.0,2.99,2005-08-22T16:46:41.000Z
302,11,1,11646.0,0.99,2006-02-14T15:16:03.000Z
303,12,1,988.0,4.99,2005-05-30T22:08:03.000Z
304,12,1,1084.0,4.99,2005-05-31T10:10:17.000Z
305,12,2,1752.0,5.99,2005-06-16T16:02:55.000Z
306,12,2,2434.0,5.99,2005-06-18T17:11:51.000Z
307,12,2,2500.0,5.99,2005-06-18T22:07:12.000Z
308,12,2,2623.0,4.99,2005-06-19T07:11:51.000Z
309,12,2,3135.0,2.99,2005-06-20T18:33:52.000Z
310,12,1,3411.0,0.99,2005-06-21T15:31:27.000Z
311,12,1,3870.0,3.99,2005-07-06T16:57:54.000Z
312,12,1,5071.0,0.99,2005-07-09T04:00:39.000Z
313,12,1,5074.0,0.99,2005-07-09T04:06:24.000Z
314,12,2,5111.0,0.99,2005-07-09T06:02:19.000Z
315,12,2,5242.0,3.99,2005-07-09T12:20:25.000Z
316,12,1,6773.0,2.99,2005-07-12T14:55:39.000Z
317,12,2,7008.0,0.99,2005-07-27T00:44:03.000Z
318,12,2,7279.0,0.99,2005-07-27T10:50:47.000Z
319,12,2,8985.0,0.99,2005-07-30T03:34:51.000Z
320,12,2,9166.0,4.99,2005-07-30T10:26:28.000Z
321,12,2,9238.0,5.99,2005-07-30T12:49:43.000Z
322,12,1,9627.0,5.99,2005-07-31T03:42:46.000Z
323,12,2,9708.0,5.99,2005-07-31T06:45:33.000Z
324,12,2,10392.0,10.99,2005-08-01T05:50:26.000Z
325,12,2,11497.0,0.99,2005-08-16T21:52:30.000Z
326,12,1,12604.0,4.99,2005-08-18T15:58:48.000Z
327,12,2,13519.0,0.99,2005-08-20T01:37:07.000Z
328,12,2,13895.0,2.99,2005-08-20T14:58:28.000Z
329,12,2,14240.0,4.99,2005-08-21T04:19:39.000Z
330,12,1,15993.0,0.99,2005-08-23T19:28:44.000Z
331,13,1,1933.0,2.99,2005-06-17T05:54:42.000Z
332,13,1,2209.0,4.99,2005-06-18T01:24:01.000Z
333,13,1,2952.0,2.99,2005-06-20T05:26:57.000Z
334,13,1,3047.0,8.99,2005-06-20T11:45:33.000Z
335,13,2,3946.0,2.99,2005-07-06T20:39:24.000Z
336,13,1,6118.0,8.99,2005-07-11T06:43:08.000Z
337,13,1,6568.0,2.99,2005-07-12T04:45:47.000Z
338,13,1,6870.0,0.99,2005-07-12T19:13:45.000Z
339,13,1,6897.0,2.99,2005-07-12T20:30:41.000Z
340,13,1,7916.0,2.99,2005-07-28T10:49:53.000Z
341,13,1,8277.0,2.99,2005-07-29T00:38:53.000Z
342,13,2,8831.0,11.99,2005-07-29T21:37:41.000Z
343,13,2,9260.0,9.99,2005-07-30T13:38:22.000Z
344,13,2,9434.0,0.99,2005-07-30T20:29:41.000Z
345,13,1,9664.0,0.99,2005-07-31T05:12:08.000Z
346,13,1,9736.0,7.99,2005-07-31T07:58:40.000Z
347,13,1,10003.0,4.99,2005-07-31T16:48:51.000Z
348,13,1,11292.0,4.99,2005-08-02T13:58:41.000Z
349,13,2,11315.0,0.99,2005-08-02T15:05:17.000Z
350,13,2,11761.0,5.99,2005-08-17T08:44:59.000Z
351,13,2,12918.0,7.99,2005-08-19T03:31:36.000Z
352,13,2,13096.0,4.99,2005-08-19T09:49:03.000Z
353,13,2,13213.0,0.99,2005-08-19T14:25:48.000Z
354,13,1,13456.0,0.99,2005-08-19T23:33:19.000Z
355,13,1,14252.0,9.99,2005-08-21T04:44:07.000Z
356,13,2,14545.0,7.99,2005-08-21T14:44:23.000Z
357,13,1,15338.0,4.99,2005-08-22T19:51:24.000Z
358,14,1,151.0,0.99,2005-05-25T23:37:28.000Z
359,14,1,346.0,9.99,2005-05-27T03:34:41.000Z
360,14,1,525.0,5.99,2005-05-28T03:25:33.000Z
361,14,1,671.0,2.99,2005-05-28T21:04:30.000Z
362,14,2,815.0,0.99,2005-05-29T19:24:28.000Z
363,14,2,1360.0,4.99,2005-06-15T12:32:15.000Z
364,14,1,3707.0,2.99,2005-07-06T09:21:49.000Z
365,14,1,4952.0,0.99,2005-07-08T22:00:07.000Z
366,14,1,5104.0,0.99,2005-07-09T05:37:07.000Z
367,14,2,5317.0,7.99,2005-07-09T15:10:25.000Z
368,14,1,5383.0,4.99,2005-07-09T18:14:32.000Z
369,14,1,5565.0,7.99,2005-07-10T02:29:48.000Z
370,14,1,8035.0,6.99,2005-07-28T15:23:01.000Z
371,14,1,8042.0,0.99,2005-07-28T15:45:11.000Z
372,14,1,8548.0,3.99,2005-07-29T10:11:33.000Z
373,14,2,8836.0,4.99,2005-07-29T21:46:08.000Z
374,14,2,9438.0,4.99,2005-07-30T20:36:15.000Z
375,14,1,9592.0,2.99,2005-07-31T02:21:16.000Z
376,14,1,10348.0,2.99,2005-08-01T04:23:00.000Z
377,14,2,10526.0,6.99,2005-08-01T10:55:33.000Z
378,14,1,11480.0,4.99,2005-08-02T21:18:24.000Z
379,14,2,11528.0,3.99,2005-08-16T23:27:23.000Z
380,14,1,12668.0,2.99,2005-08-18T18:16:47.000Z
381,14,1,13757.0,4.99,2005-08-20T10:20:12.000Z
382,14,2,15015.0,6.99,2005-08-22T07:43:50.000Z
383,14,1,15373.0,0.99,2005-08-22T21:08:11.000Z
384,14,1,16045.0,0.99,2005-08-23T21:25:26.000Z
385,14,1,13780.0,4.99,2006-02-14T15:16:03.000Z
386,15,1,2486.0,2.99,2005-06-18T20:26:56.000Z
387,15,1,2937.0,5.99,2005-06-20T04:15:37.000Z
388,15,2,3182.0,0.99,2005-06-20T21:52:18.000Z
389,15,1,3550.0,7.99,2005-07-06T01:29:21.000Z
390,15,1,4127.0,5.99,2005-07-07T06:26:19.000Z
391,15,1,5717.0,2.99,2005-07-10T10:02:03.000Z
392,15,2,5975.0,2.99,2005-07-10T23:14:19.000Z
393,15,1,7105.0,4.99,2005-07-27T04:15:37.000Z
394,15,1,8193.0,0.99,2005-07-28T21:50:50.000Z
395,15,2,8615.0,6.99,2005-07-29T12:36:01.000Z
396,15,2,8927.0,4.99,2005-07-30T01:13:31.000Z
397,15,1,9987.0,2.99,2005-07-31T16:22:35.000Z
398,15,1,11118.0,2.99,2005-08-02T07:44:18.000Z
399,15,1,11141.0,2.99,2005-08-02T08:29:11.000Z
400,15,2,11307.0,2.99,2005-08-02T14:48:08.000Z
401,15,2,11341.0,2.99,2005-08-02T16:09:24.000Z
402,15,1,11922.0,7.99,2005-08-17T15:20:37.000Z
403,15,2,12272.0,2.99,2005-08-18T03:39:10.000Z
404,15,2,12551.0,2.99,2005-08-18T13:46:26.000Z
405,15,1,12635.0,2.99,2005-08-18T17:00:23.000Z
406,15,2,13339.0,8.99,2005-08-19T19:18:36.000Z
407,15,1,13393.0,5.99,2005-08-19T21:03:46.000Z
408,15,2,13503.0,5.99,2005-08-20T01:00:33.000Z
409,15,1,13541.0,4.99,2005-08-20T02:41:41.000Z
410,15,2,13677.0,3.99,2005-08-20T07:34:41.000Z
411,15,2,14569.0,0.99,2005-08-21T15:31:22.000Z
412,15,2,14776.0,4.99,2005-08-21T22:53:35.000Z
413,15,2,14872.0,8.99,2005-08-22T02:23:41.000Z
414,15,1,15178.0,0.99,2005-08-22T14:36:04.000Z
415,15,1,15897.0,4.99,2005-08-23T16:12:31.000Z
416,15,1,13798.0,3.98,2006-02-14T15:16:03.000Z
417,15,2,13968.0,0.0,2006-02-14T15:16:03.000Z
418,16,1,335.0,3.99,2005-05-27T02:07:10.000Z
419,16,1,593.0,2.99,2005-05-28T12:33:23.000Z
420,16,2,887.0,0.99,2005-05-30T06:10:00.000Z
421,16,1,1017.0,2.99,2005-05-31T01:53:36.000Z
422,16,2,1934.0,6.99,2005-06-17T06:04:57.000Z
423,16,1,1944.0,7.99,2005-06-17T06:50:53.000Z
424,16,1,,1.99,2005-06-18T03:56:12.000Z
425,16,1,2960.0,7.99,2005-06-20T06:10:09.000Z
426,16,2,3348.0,0.99,2005-06-21T10:16:42.000Z
427,16,1,3548.0,0.99,2005-07-06T01:23:39.000Z
428,16,2,4219.0,2.99,2005-07-07T11:11:22.000Z
429,16,2,4263.0,3.99,2005-07-07T13:24:44.000Z
430,16,2,4517.0,4.99,2005-07-08T01:45:19.000Z
431,16,1,6100.0,4.99,2005-07-11T05:40:31.000Z
432,16,2,7489.0,0.99,2005-07-27T18:39:38.000Z
433,16,2,7552.0,2.99,2005-07-27T21:03:41.000Z
434,16,2,8452.0,5.99,2005-07-29T06:45:00.000Z
435,16,2,9158.0,0.99,2005-07-30T10:12:03.000Z
436,16,2,9610.0,5.99,2005-07-31T02:54:05.000Z
